Incident Date,Incident Name,Category,Target Industry,Attack Vector,Attributed Actor Type,Impacted Entities,Financial Cost,APT vs Opportunistic,Source,Source URL,Notes,MITRE ATT&CK ID,Attack Technique,Attack Behavior,Attack Indicator,Artifact,Detection Method,Time to Detect,Detection Coverage,Incident Failure Point,Compliance Status,Contingency/Backup Plan,Disruption Type,Business Impact
2021-03-28,PHP Git server compromise,Software Supply Chain,Open Source/Infrastructure,Source code compromise; Code injection,Unknown / Not attributed,PHP; git.php.net; two malicious commits with backdoor,Not available,Other/Unknown,CNCF TAG Security Catalog,https://news-web.php.net/php.internals/113838,Self-hosted Git server compromised; backdoor in PHP source code,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged source code compromise; code injection against PHP Git server compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1059 based on the reported vector.",exploit attempts in application logs; unexpected web shells or child processes,Not publicly detailed,Unknown,Unknown,Unknown,Source repository integrity; Code review and artifact integrity,Not reported,Unknown,Data breach,Data breach affecting PHP; git.php.net; two malicious commits with backdoor; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-04-01,ClickStudios Passwordstate compromise,Software Supply Chain,Password Management/Security Software,Update mechanism compromise; Code injection,Unknown / Not attributed,ClickStudios; Passwordstate customers,Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Upgrade director web mechanism compromised to deliver malware,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged update mechanism compromise; code injection against ClickStudios Passwordstate compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1059 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence; exploit attempts in application logs; unexpected web shells or child processes,Trojanized legitimate installer/update package,Third-party security research,Unknown,Unknown,Update channel integrity; Code review and artifact integrity,Not reported,Unknown,Credential theft,Credential theft affecting ClickStudios; Passwordstate customers; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-04-15,Codecov Bash Uploader compromise,Software Supply Chain,DevOps/Developer Tools,Credential compromise; Code injection,Unknown / Not attributed,"Codecov; multiple customers including Monday.com, Rapid7; credentials/tokens/keys exposed",Not available,Other/Unknown,CNCF TAG Security Catalog; ENISA Threat Landscape for Supply Chain Attacks,https://about.codecov.io/security-update/; https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Docker image creation error allowed credential theft; bash uploader modified since Jan 2021,T1195.002 + T1552.001 + T1078.004 + T1567,Supply Chain Compromise: Compromise Software Supply Chain; Unsecured Credentials: Credentials In Files; Valid Accounts: Cloud Accounts; Exfiltration Over Web Service,An error in Codecov's Docker image creation process exposed a credential that let the attacker modify the widely used Bash Uploader script so that every CI run exported its environment variables - including cloud keys and tokens - to an attacker-controlled server.,Unexpected curl POST to 178.62.86.114 in CI logs; altered checksum of codecov-bash uploader; subsequent unauthorized use of leaked CI secrets and Git tokens,Modified Codecov Bash Uploader script (one-line curl exfiltration),Customer report - a client noticed a checksum mismatch between the served Bash Uploader and the GitHub source,~2 months (modification 2021-01-31; discovered/disclosed 2021-04-01/15),No,"Artifact integrity and secret hygiene - unsigned, unverified CI script served over the network with no checksum enforcement","Customer breach notifications (e.g. HashiCorp GPG key rotation, Rapid7 and Twilio disclosures); federal investigation reported",Remediation via mass credential rotation and signing-key replacement rather than restoration; no data destruction,Credential theft,"Secrets from CI pipelines across an estimated 29,000 customers were exposed, forcing industry-wide token and signing-key rotation at companies including HashiCorp, Twilio, Rapid7 and Monday.com."
2021-04-18,Homebrew CI vulnerability (review-cask-pr),Software Supply Chain,Open Source/Package Management,Dev tooling compromise; CI/CD compromise,Security researcher (white hat),Homebrew; homebrew-cask repositories,Not available,Other/Unknown,CNCF TAG Security Catalog,https://brew.sh/2021/04/21/security-incident-disclosure/,Vulnerability in GitHub Action allowed arbitrary code injection into casks,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged dev tooling compromise; ci/cd compromise against Homebrew CI vulnerability (review-cask-pr) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Security researcher (white hat). Mapped to T1195.002, T1195.001 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,Not publicly detailed,Third-party security research,Unknown,Unknown,CI/CD pipeline access control; Developer tooling trust boundary,Not reported,Unknown,Malicious code injection,Malicious code injection affecting Homebrew; homebrew-cask repositories; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-05-01,Fujitsu ProjectWEB compromise,Software Supply Chain,Collaboration/Government Software,Vulnerability exploitation; Data exfiltration,Unknown / Not attributed,Japanese government agencies; Japanese Air Traffic Control,Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Weaknesses in ProjectWEB exploited; government and air traffic control data stolen,T1190 + T1567,Exploit Public-Facing Application; Exfiltration Over Web Service,"Attacker leveraged vulnerability exploitation; data exfiltration against Fujitsu ProjectWEB compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1190, T1567 based on the reported vector.",exploit attempts in application logs; unexpected web shells or child processes,Exploit for a public-facing application; follow-on webshell or loader,Internal monitoring,Unknown,Unknown,Vulnerability management on internet-facing systems; Data loss prevention and egress monitoring,Government incident reporting/advisory (CISA or national CERT),Unknown,Data breach,Data breach affecting Japanese government agencies; Japanese Air Traffic Control; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-05-07,Colonial Pipeline ransomware (DarkSide),Physical/Operational Supply Chain,Energy/Fuel Pipeline,"Credential compromise (legacy VPN, no MFA); Ransomware",Cybercriminal / Ransomware-as-a-Service (DarkSide),Colonial Pipeline; fuel distribution across US East Coast; 17 states + DC declared emergency,$4.4M ransom paid (~$2.3M recovered by DOJ); regional fuel shortages,Opportunistic,US DOJ / CISA / Congressional testimony,https://www.justice.gov/opa/pr/department-justice-seizes-23-million-cryptocurrency-paid-ransomware-extortionists-darkside,Largest US fuel pipeline shut down for 6 days; catalyst for TSA pipeline security directives,T1078 + T1133 + T1486 + T0822 (ICS),Valid Accounts; External Remote Services; Data Encrypted for Impact; External Remote Services (ICS),"DarkSide affiliates logged into a legacy, unused VPN profile using a single compromised password with no MFA, moved through the IT network, exfiltrated ~100GB of data, then deployed DarkSide ransomware against IT systems.",Login to a decommissioned VPN account from an unusual IP; ~100GB outbound data transfer; DarkSide ransom note on operator workstation; encrypted billing/IT file shares,DarkSide ransomware; stolen VPN credential (found in a password dump); commodity remote-access tooling,Employee discovery - control-room operator found a ransom note on a computer screen,8 days (initial access 2021-04-29; discovered 2021-05-07),No,VPN credential management - dormant remote-access account without multifactor authentication,TSA Security Directive Pipeline-2021-01/02 issued; mandatory CISA incident reporting; Congressional testimony,Backups existed but restoration judged too slow for billing systems; company paid $4.4M ransom for the decryptor,Operational shutdown,"Precautionary shutdown of a 5,500-mile pipeline carrying ~45% of East Coast fuel for six days, triggering panic buying, station outages and an emergency declaration in 17 states and DC."
2021-05-30,JBS Foods ransomware (REvil),Physical/Operational Supply Chain,Food/Meat Processing,Ransomware; Credential/access compromise (initial vector undisclosed),Cybercriminal (REvil ransomware group),JBS S.A./JBS USA; JBS Canada; JBS Australia; ~20% of U.S. beef and pork processing capacity,"$11,000,000 ransom paid; ~$100,000,000 total business impact (JBS estimate)",Opportunistic,Public reporting,https://www.cyberbreaches.org/en/incidents/jbs-foods-2021,Physical/operational supply chain attack (not software supply chain). REvil dwelled ~3 months before detonating ransomware simultaneously across three countries; White House engaged Russian government; FBI attributed to REvil.,T1486 + T1078 + T1567,Data Encrypted for Impact; Valid Accounts; Exfiltration Over Web Service,"REvil affiliates obtained access to JBS's network months before deployment, staged and exfiltrated data, then encrypted servers supporting North American and Australian beef and pork processing operations.",Long-running unauthorized access to internal servers; REvil ransom note and encrypted plant scheduling systems; outbound staging of company data,REvil/Sodinokibi ransomware,Internal monitoring - IT teams detected irregular activity affecting North American and Australian servers,~3 months of dwell time before encryption (access from ~February-March 2021; encryption late May 2021),No,Credential/access management and network segmentation across a global multi-plant OT-adjacent IT estate,US Congressional inquiry and testimony; USDA/White House engagement; ransom payment publicly disclosed,"Encrypted backup servers were unaffected in part, but JBS paid an $11M ransom to limit further disruption and data exposure",Operational shutdown,"All US beef plants and multiple Australian and Canadian facilities halted for roughly a day or more, cutting US beef slaughter capacity by about a fifth and briefly moving wholesale meat prices."
2021-06-01,Microsoft WHCP driver signing abuse,Software Supply Chain,Software/Gaming,Certificate attack; Trust and signing compromise,Unknown / Not attributed,Users systems; gaming sector in China,Not available,Opportunistic,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Code signing processes abused to distribute rootkit malware,T1553.002,Subvert Trust Controls: Code Signing,Attacker leveraged certificate attack; trust and signing compromise against Microsoft WHCP driver signing abuse to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1553.002 based on the reported vector.,anomalous change to a trusted third-party component; unexpected outbound network activity,Abused code-signing certificate and signed malware,Third-party security research,Unknown,Unknown,Code-signing key and certificate governance; Code-signing trust validation,Not reported,Unknown,Service disruption,Service disruption affecting Users systems; gaming sector in China; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-06-01,Myanmar presidential website trojanized,Software Supply Chain,Government,Publishing infrastructure compromise; Code injection,APT (Mustang Panda suspected),Myanmar presidential website; potential victims,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Resources on presidential website trojanized to deliver malware,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged publishing infrastructure compromise; code injection against Myanmar presidential website trojanized to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT (Mustang Panda suspected). Mapped to T1195.002, T1059 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence; exploit attempts in application logs; unexpected web shells or child processes,Trojanized legitimate installer/update package,Internal monitoring,Unknown,Unknown,Distribution/publishing infrastructure integrity; Code review and artifact integrity,Government incident reporting/advisory (CISA or national CERT),Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting Myanmar presidential website; potential victims; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-06-21,PyPI (6/21/2021),Software Supply Chain,Open Source/Package Registry,Malicious package; Typosquatting,Cybercriminal / Financially motivated,PyPI; 6 packages/instances affected,Not available,Opportunistic,Atlantic Council Breaking Trust,https://blog.sonatype.com/sonatype-catches-new-pypi-cryptomining-malware-via-automated-detection,IQT/Breaking Trust dataset. Sonatype is publishing the findings after catching these malicious packages over the weekend and notifying PyPI of these packages.,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package; typosquatting against PyPI (6/21/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Cybercriminal / Financially motivated. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; 6 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-07-01,Synnex IT distribution breach,Software Supply Chain,Technology Distribution,Credential compromise; Cloud access,Unknown / Not attributed,Synnex; Microsoft cloud customer applications; US Republican National Committee (RNC),Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Possibly connected to Kaseya MSP attacks; RNC accessed through Microsoft cloud,T1078 + T1552 + T1078.004,Valid Accounts; Unsecured Credentials; Valid Accounts: Cloud Accounts,"Attacker leveraged credential compromise; cloud access against Synnex IT distribution breach to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1078, T1552, T1078.004 based on the reported vector.",logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,Not publicly detailed,Internal monitoring,Unknown,Unknown,Credential management; Cloud identity and access management,Not reported,Unknown,Credential theft,Credential theft affecting Synnex; Microsoft cloud customer applications; US Republican National Committee (RNC); no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-07-02,Kaseya VSA (7/2/2021),Software Supply Chain,IT/DevOps Software,Build system compromise,Cybercriminal / Financially motivated,Kaseya VSA,Not available,Opportunistic,Atlantic Council Breaking Trust; ENISA Threat Landscape for Supply Chain Attacks,https://www.cisa.gov/uscert/ncas/current-activity/2021/07/02/kaseya-vsa-supply-chain-ransomware-attack; https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,"IQT/Breaking Trust dataset. REvil has offered a decryption key, allegedly universal and, therefore, able to unlock all encrypted systems, for the 'bargain' price of $70 million in the bitcoin (BTC) cryptocurrency.",T1190 + T1195.002 + T1486 + T1562.001,Exploit Public-Facing Application; Supply Chain Compromise: Compromise Software Supply Chain; Data Encrypted for Impact; Impair Defenses: Disable or Modify Tools,REvil affiliates exploited authentication-bypass and code-injection zero-days (CVE-2021-30116 chain) in on-premises Kaseya VSA servers to push a fake 'Kaseya VSA Agent Hot-fix' that disabled Defender and ran REvil ransomware on downstream MSP customer endpoints.,agent.crt/agent.exe dropped into c:\kworking; certutil-based decoding; Defender exclusions added via PowerShell; simultaneous encryption across many unrelated customers of one MSP,REvil/Sodinokibi ransomware; trojanized Kaseya agent hotfix; legitimate but abused MsMpEng.exe side-loading of mpsvc.dll,Internal monitoring - Kaseya's own detection plus near-simultaneous MSP reports; Kaseya shut down SaaS and told customers to take VSA offline within hours,~2 hours from exploitation to Kaseya shutdown notice,Yes,Vulnerability management in a highly privileged remote-management platform (known-but-unpatched zero-days in an agent with SYSTEM rights),CISA-FBI joint guidance issued; White House response and later DOJ indictment/arrests; customer breach notifications,"Mixed - many MSPs restored from backups; a universal decryptor was later obtained by the FBI and distributed, and Kaseya stated it did not pay",Service disruption,"Roughly 50-60 MSPs and up to 1,500 downstream businesses were encrypted over a holiday weekend, closing hundreds of Coop supermarkets in Sweden and schools in New Zealand, against a $70M collective ransom demand."
2021-07-29,PyPI (7/29/2021),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,PyPI; 8 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://jfrog.com/blog/malicious-pypi-packages-stealing-credit-cards-injecting-code/,IQT/Breaking Trust dataset. JFrog security research team will continue to monitor public package repositories to sanitize such instances.,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against PyPI (7/29/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; 8 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-09-01,WordPress (01/21/2022),Software Supply Chain,Open Source/Package Registry,Source code compromise; Malicious package,Unknown / Not attributed,WordPress; 93 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.bleepingcomputer.com/news/security/over-90-wordpress-themes-plugins-backdoored-in-supply-chain-attack/,"IQT/Breaking Trust dataset. In total, threat actors compromised 40 themes and 53 plugins belonging to AccessPress, a developer of WordPress add-ons used in over 360000 active websites.",T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged source code compromise; malicious package against WordPress (01/21/2022) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Source repository integrity; Package registry verification,Not reported,Unknown,Data breach,Data breach affecting WordPress; 93 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-09-03,Travis CI (9/14/2021),Software Supply Chain,IT/DevOps Software,Build system compromise,Unknown / Not attributed,Travis CI,Not available,Other/Unknown,Atlantic Council Breaking Trust; CNCF TAG Security Catalog,https://arstechnica.com/information-technology/2021/09/travis-ci-flaw-exposed-secrets-for-thousands-of-open-source-projects/; https://travis-ci.community/t/security-bulletin/12081,IQT/Breaking Trust dataset. The dev community is upset about the poor handling of the vulnerability disclosure process and the brief security bulletin it had to force out of Travis.,T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Attacker leveraged build system compromise against Travis CI (9/14/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002 based on the reported vector.,signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,Trojanized legitimate installer/update package,Third-party security research,Unknown,Unknown,Build system integrity,Not reported,Unknown,Service disruption,Service disruption affecting Travis CI; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-09-12,PyPI (9/12/2021),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,PyPI; 18 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://github.com/pypi/warehouse/issues/10032,IQT/Breaking Trust dataset. The Python packages have since been removed from the repository.,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against PyPI (9/12/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; 18 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-10-12,PyPI (10/12/2021),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,PyPI; 2 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.bleepingcomputer.com/news/security/pypi-removes-mitmproxy2-over-code-execution-concerns/,"IQT/Breaking Trust dataset. After removing the package from the directory the next day, a new package 'mitmproxy-iframe' was posted to PyPI, the description of which also completely coincided with the official package.",T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against PyPI (10/12/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; 2 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-10-15,npm (10/20/2021),Software Supply Chain,Open Source/Package Registry,Malicious package; Typosquatting,Cybercriminal / Financially motivated,npm; 3 packages/instances affected,Not available,Opportunistic,Atlantic Council Breaking Trust,https://blog.sonatype.com/newly-found-npm-malware-mines-cryptocurrency-on-windows-linux-macos-devices,"IQT/Breaking Trust dataset. The bad actor's NPM account has since been deactivated, and all the three libraries have been removed from the repository on the same day of publishing.",T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package; typosquatting against npm (10/20/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Cybercriminal / Financially motivated. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 3 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-10-20,npm (10/27/2021),Software Supply Chain,Open Source/Package Registry,Malicious package; Typosquatting,Cybercriminal / Financially motivated,npm; 2 packages/instances affected,Not available,Opportunistic,Atlantic Council Breaking Trust,https://blog.sonatype.com/fake-npm-roblox-api-package-installs-ransomware-spooky-surprise,IQT/Breaking Trust dataset. Both of the malicious NPM libraries have since been taken down and are no longer available.,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package; typosquatting against npm (10/27/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Cybercriminal / Financially motivated. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 2 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-10-22,npm (10/22/2021),Software Supply Chain,Open Source/Package Registry,Source code compromise; Account takeover; Malicious package,Unknown / Not attributed,npm,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.bleepingcomputer.com/news/security/popular-npm-library-hijacked-to-install-password-stealers-miners/,"IQT/Breaking Trust dataset. The deliberately introduced critical vulnerabilities were absent from newer, benign versions released by the JavaScript packages developer a few hours later.",T1195.002 + T1195.001 + T1078,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Valid Accounts,"Attacker leveraged source code compromise; account takeover; malicious package against npm (10/22/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001, T1078 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Source repository integrity; Package registry verification; Credential management / account security,Not reported,Unknown,Data breach,Data breach affecting npm; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-11-04,NPM coa and rc packages hijacked,Software Supply Chain,Open Source/Package Registry,Account takeover; Malicious maintainer,Cybercriminal / Financially motivated,NPM; coa (8M+ weekly downloads); rc (14M+ weekly downloads); Qakbot trojan distributed,Not available,Opportunistic,CNCF TAG Security Catalog,https://blog.sonatype.com/npm-hijackers-at-it-again-popular-coa-and-rc-open-source-libraries-taken-over-to-spread-malware; https://blog.sonatype.com/newly-found-npm-malware-mines-cryptocurrency-on-windows-linux-macos-devices; https://github.com/faisalman/ua-parser-js/issues/536,Developer accounts hijacked to publish malicious versions with Qakbot trojan,T1195.001 + T1078,Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Valid Accounts,"Attacker leveraged account takeover; malicious maintainer against NPM coa and rc packages hijacked to insert or execute unauthorized code in the victim's software supply chain; actor profile: Cybercriminal / Financially motivated. Mapped to T1195.001, T1078 based on the reported vector.",logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,Not publicly detailed,Third-party security research,Unknown,Unknown,Maintainer trust and release review; Credential management / account security,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting NPM; coa (8M+ weekly downloads); rc (14M+ weekly downloads); Qakbot trojan distributed; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-11-04,npm (11/4/2021),Software Supply Chain,Open Source/Package Registry,Source code compromise; Account takeover; Malicious package,Unknown / Not attributed,npm; 2 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.bleepingcomputer.com/news/security/popular-coa-npm-library-hijacked-to-steal-user-passwords/,IQT/Breaking Trust dataset. NPM has removed the compromised versions and blocked new versions from being published temporarily while recovering access to the package.,T1195.002 + T1195.001 + T1078,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Valid Accounts,"Attacker leveraged source code compromise; account takeover; malicious package against npm (11/4/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001, T1078 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Source repository integrity; Package registry verification; Credential management / account security,Not reported,Unknown,Data breach,Data breach affecting npm; 2 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-11-19,PyPI (11/19/2021),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,PyPI; 11 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://arstechnica.com/information-technology/2021/11/malware-downloaded-from-pypi-41000-times-was-surprisingly-stealthy/,IQT/Breaking Trust dataset. The Python packages have since been removed from the repository following responsible disclosure by DevOps firm JFrog.,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against PyPI (11/19/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; 11 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-12-01,npm (07/05/2022),Software Supply Chain,Open Source/Package Registry,Build system compromise; Dependency compromise,Unknown / Not attributed,npm; 59 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.reversinglabs.com/blog/iconburst-npm-software-supply-chain-attack-grabs-data-from-apps-websites,IQT/Breaking Trust dataset. Researchers at ReversingLabs identified NPM packages that contain obfuscated Javascript designed to steal form data from individuals using applications or websites where the malicious packages had been deployed.,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged build system compromise; dependency compromise against npm (07/05/2022) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,Trojanized legitimate installer/update package,Third-party security research,Unknown,Unknown,Build system integrity; Dependency review and pinning,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 59 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
